id,name,country,region_or_city,type,why_visit,priority,estimated_time_minutes,latitude,longitude,source,verification_status,parking_notes,access_notes,itinerary_days,notes
belgrade-center,Белград - обзорная точка,Сербия,Белград,городской ориентир,Старт и завершение поездки,обязательно,0,44.8178131,20.4568974,OpenStreetMap Nominatim,обзорная координата центра; адрес старта требует подтверждения,Не является парковкой,Использовать только как городской ориентир,2026-08-06;2026-08-16,Точка не раскрывает адрес проживания
gold-gondola-zlatibor,Gold Gondola Zlatibor - нижняя станция,Сербия,Златибор,канатная дорога,Главная обязательная активность в Златиборе,обязательно,240,43.7229236,19.6945546,официальный сайт Gold Gondola и OpenStreetMap,касса и район нижней станции проверены 2026-08-02; режим работы требует проверки,Парковочный въезд и условия требуют проверки,Координата ведет к кассе у нижней станции,2026-08-07,Продолжительность ориентировочная и зависит от очереди
sumatno-brdo,Šumatno brdo / Spomenik na Šumatnom brdu,Сербия,Златибор,легкая прогулка и мемориал,Маркированная вечерняя прогулка с панорамой Златибора,дополнительно,120,43.7112222,19.7119444,Туристическая организация Златибора и Spomenik Database,маршрут и памятник проверены 2026-08-03; старт от жилья требует проверки,Координата не является парковкой; при старте от Kraljev trg использовать официальную городскую парковку,Маркированная тропа около 2.3 км в одну сторону и набор около 90 м; идти только засветло,2026-08-06;2026-08-07,Выбрать один вечер; не добавлять после Gold Gondola при усталости или позднем возвращении
brdo-zlatar-area,Brdo / район Златара,Сербия,Златар,район ночевки,Логистическая остановка перед поездкой на Тару,обязательно,0,43.438795,19.821960,Wikimedia Commons и OpenStreetMap,обзорная координата района; не адрес жилья,Парковку подтвердить у Vila Plava,Для навигации к жилью использовать адрес из бронирования,2026-08-15;2026-08-16,Точная координата жилья намеренно не публикуется
banjska-stena,Banjska Stena,Сербия,Национальный парк Тара,смотровая площадка,Панорамный вид на Дрину сверху,обязательно,120,43.9516697,19.4007635,карта пользователя в trip_input.md и туристический портал Сербии,точка пользователя подтверждена; OSM отличается примерно на 60 м,Доехать до подтвержденной стоянки; последний участок пройти пешком,Дорогу парковку и состояние тропы проверить перед выездом,2026-08-16,Координата объекта не является парковкой
drina-river-house,Drina River Small House,Сербия,Баина-Башта,домик на реке,Короткая остановка у известного символа Дрины,обязательно,30,43.9843294,19.5665783,карта пользователя в trip_input.md и туристический портал Сербии,объект и координаты проверены 2026-08-02,Выбрать официальную остановку или парковку в Баина-Баште,Осмотр с берега; координата указывает объект в реке,2026-08-16,Не использовать координату как точку подъезда автомобиля
ali-pasha-springs,Ali-pašini izvori,Черногория,Гусине,карстовый источник,Крупный источник и спокойная прогулка рядом с Гусине,обязательно,45,42.54985,19.82476,TO Gusinje и OpenStreetMap,место и координаты проверены 2026-08-02; подъезд требует проверки,Официальный режим и вместимость парковки требуют проверки,Короткий автомобильный подъезд от Гусине,2026-08-10,Начать восстановительный день здесь
grlja-waterfall,Vodopad Grlja / kanjon Grlja,Черногория,Vusanje,водопад и каньон,Выразительный вход в узкий каньон и начало прогулки в Ropojana,обязательно,45,42.52286,19.84160,NP Prokletije и справочная точка SummitPost,объект подтвержден; координаты и поток воды требуют проверки,Стоянка у начала тропы отмечена в справочных источниках; состояние требует проверки,Осматривать только сверху; каньонинг в план не входит,2026-08-10,В августе водопад может быть маловодным
oko-skakavice,Oko Skakavice / Savino oko,Черногория,Vusanje,карстовый источник,Голубой источник в начале долины Ropojana,обязательно,60,42.51187,19.834791,NP Prokletije и Photo Montenegro,объект и координаты проверены по справочным источникам 2026-08-02,Автомобиль оставить у подтвержденной точки в районе Grlja или Vusanje; парковка требует проверки,Идти пешком по начальной части Ropojana; состояние пути требует проверки,2026-08-10,Не ехать дальше по плохой грунтовке
ropojana-valley-short,Ropojana Valley - короткая прогулка,Черногория,Проклетие,ледниковая долина,Другой ландшафт Проклетие без второго тяжелого похода,желательно,120,42.502074,19.815722,NP Prokletije и Wikidata,долина подтверждена; координата обзорная и требует проверки для навигации,Использовать ту же подтвержденную стоянку что и для Grlja,Только начальная часть до Oko Skakavice и обратно; не идти к границе,2026-08-10,Точку разворота определить по времени и самочувствию
gusinje-center,Gusinje center,Черногория,Гусине,городская прогулка и питание,Обед и восстановление после прогулки,желательно,90,42.5638,19.8333,OpenStreetMap и официальный туристический сайт Черногории,координата центра проверена 2026-08-02,Городская парковка требует проверки,Короткая прогулка по центру,2026-08-10,Конкретное заведение выбрать на месте
plav-lake,Plavsko jezero,Черногория,Плав,ледниковое озеро,Спокойное завершение дня у воды,дополнительно,60,42.596111,19.926111,официальный туристический сайт Черногории и географический справочник,координата озера проверена 2026-08-02; точка доступа требует проверки,Выбрать официальное место у берега; парковка требует проверки,Добавлять только по погоде и самочувствию,2026-08-10,Координата указывает озеро а не выбранную парковку
vukotic-obala,Apartments Vukotic Obala,Черногория,Петровац,место ночевки,Фактическая дополнительная ночевка по пути к Kotor,обязательно,0,42.2063963,18.9392281,Booking.com и DirectHotels,ночевка 10-11 августа подтверждена пользователем 2026-08-19; адрес и координаты сверены по публичной карточке,Условия парковки не зафиксированы,Адрес Obala bb; 11 августа выезд в Kotor,2026-08-10;2026-08-11,Добавлено после завершения поездки
sveti-stefan-highway-view,Sveti Stefan - обзор с M-1/E80,Черногория,Sveti Stefan,обзорная точка с дороги,Фактическая короткая остановка с видом на остров по пути в Budva,обязательно,0,42.255538,18.894703,Wikimedia Commons и пользователь,посещение подтверждено пользователем 2026-08-19; координата соответствует фоторакурсу с E80,Точное место остановки не зафиксировано; использовать только разрешенный безопасный карман,Обзор с магистрали без спуска к острову и пляжу,2026-08-11,Продолжительность не зафиксирована
budva-old-town,Stari Grad Budva,Черногория,Budva,старый город,Фактически посещенный исторический центр по пути в Kotor,обязательно,0,42.2839437,18.836961,Visit Budva и пользователь,посещение подтверждено пользователем 2026-08-19; координата Citadela проверена по Visit Budva,Фактическая парковка не зафиксирована,Исторический центр осматривали пешком,2026-08-11,Продолжительность прогулки не зафиксирована
kotor-old-town,Stari Grad Kotor,Черногория,Котор,старый город,Главный исторический центр бухты,обязательно,150,42.4247,18.7712,UNESCO и туристические карты,координаты требуют контрольной проверки,Официальная парковка за стенами; тариф требует проверки,Пешеходная зона,2026-08-12,Приехать рано до круизных групп
kotor-fortress,Kotor Fortress,Черногория,Котор,крепость и пеший подъем,Панорама бухты и крепостные стены,обязательно,180,42.4219592,18.7745686,Карта пользователя в trip_input.md,маршрут и вход требуют проверки,Как для Stari Grad Kotor,Ранний старт; открытый каменный подъем,2026-08-12,Жара и скользкие ступени
perast,Perast,Черногория,Бока-Которска,исторический город,Барочная набережная и виды на острова,обязательно,120,42.48694,18.69917,GeoNames 3193504,координаты проверены 2026-08-01,Официальные парковки у въездов; тариф требует проверки,Парковка ограничена летом; по городу пешком,2026-08-13,Отдельный спокойный день
